Entity	QRank	species	speciesLabel	unit	unitLabel	maxMass
Q1424486	246575	http://www.wikidata.org/entity/Q1424486	Common Grackle	http://www.wikidata.org/entity/Q41803	gram	119.6
Q25709	240037	http://www.wikidata.org/entity/Q25709	Eurasian Bittern	http://www.wikidata.org/entity/Q11570	gram	2906.0
Q212302	239615	http://www.wikidata.org/entity/Q212302	takahē	http://www.wikidata.org/entity/Q11570	gram	2673.0
Q26017	235950	http://www.wikidata.org/entity/Q26017	Corn Crake	http://www.wikidata.org/entity/Q41803	gram	13.2
Q170466	235416	http://www.wikidata.org/entity/Q170466	European Honey Buzzard	http://www.wikidata.org/entity/Q41803	gram	49.0
Q767112	233891	http://www.wikidata.org/entity/Q767112	Greater Coucal	http://www.wikidata.org/entity/Q41803	gram	319.0
Q170723	233649	http://www.wikidata.org/entity/Q170723	Ruddy Shelduck	http://www.wikidata.org/entity/Q11570	gram	1360.0
Q270098	233454	http://www.wikidata.org/entity/Q270098	eastern grey kangaroo	http://www.wikidata.org/entity/Q41803	gram	0.8
Q26140	230953	http://www.wikidata.org/entity/Q26140	Stock Dove	http://www.wikidata.org/entity/Q41803	gram	16.7
Q245414	230889	http://www.wikidata.org/entity/Q245414	Northern Bald Ibis	http://www.wikidata.org/entity/Q41803	gram	68.0
Q337416	229538	http://www.wikidata.org/entity/Q337416	Common Hill Myna	http://www.wikidata.org/entity/Q41803	gram	192.0
Q26671	229511	http://www.wikidata.org/entity/Q26671	Red-backed Shrike	http://www.wikidata.org/entity/Q41803	gram	3.15
Q199427	227728	http://www.wikidata.org/entity/Q199427	Great White Pelican	http://www.wikidata.org/entity/Q11570	gram	11450.0
Q649817	227579	http://www.wikidata.org/entity/Q649817	Meriones unguiculatus	http://www.wikidata.org/entity/Q41803	gram	2.5
Q190342	227493	http://www.wikidata.org/entity/Q190342	Common Loon	http://www.wikidata.org/entity/Q11570	gram	5460.0
Q754034	225274	http://www.wikidata.org/entity/Q754034	Japanese serow	http://www.wikidata.org/entity/Q11570	gram	3511.0
Q182761	223897	http://www.wikidata.org/entity/Q182761	Hazel Grouse	http://www.wikidata.org/entity/Q41803	gram	369.0
Q425900	222316	http://www.wikidata.org/entity/Q425900	green pheasant	http://www.wikidata.org/entity/Q11570	gram	1150.0
Q208486	216943	http://www.wikidata.org/entity/Q208486	Leontopithecus rosalia	http://www.wikidata.org/entity/Q41803	gram	60.6
Q1258935	214103	http://www.wikidata.org/entity/Q1258935	Common Potoo	http://www.wikidata.org/entity/Q41803	gram	242.0
Q287975	212645	http://www.wikidata.org/entity/Q287975	Liopleurodon	http://www.wikidata.org/entity/Q191118	tonne	1.7
Q26552	211983	http://www.wikidata.org/entity/Q26552	Red Crossbill	http://www.wikidata.org/entity/Q41803	gram	2.95
Q716869	211696	http://www.wikidata.org/entity/Q716869	Japanese Quail	http://www.wikidata.org/entity/Q41803	gram	8.0
