Entity	QRank	item	itemLabel	unitLabel	unit	maxHeight
Q2582539	124603	http://www.wikidata.org/entity/Q2582539	Wilshire Grand Center	meter	http://www.wikidata.org/entity/Q3710	0.6095999804928006
Q2023928	123896	http://www.wikidata.org/entity/Q2023928	One57	meter	http://www.wikidata.org/entity/Q3710	306.3239901976323
Q2023928	123896	http://www.wikidata.org/entity/Q2023928	One57	metre	http://www.wikidata.org/entity/Q11573	257.0
Q30920691	121554	http://www.wikidata.org/entity/Q30920691	Tao Zhu Yin Yuan	metre	http://www.wikidata.org/entity/Q11573	93.2
Q271695	121507	http://www.wikidata.org/entity/Q271695	Aon Center	metre	http://www.wikidata.org/entity/Q11573	69.8
Q109595002	118876	http://www.wikidata.org/entity/Q109595002	Tokyu Kabukicho Tower	metre	http://www.wikidata.org/entity/Q11573	225.0
Q18602	118864	http://www.wikidata.org/entity/Q18602	22 Bishopsgate	metre	http://www.wikidata.org/entity/Q11573	278.2
Q17154027	118844	http://www.wikidata.org/entity/Q17154027	Karla Tower	metre	http://www.wikidata.org/entity/Q11573	246.0
Q1139633	117227	http://www.wikidata.org/entity/Q1139633	One Times Square	meter	http://www.wikidata.org/entity/Q3710	110.64239645944332
Q754321	114190	http://www.wikidata.org/entity/Q754321	China Media Group Guanghua Road Office Area	metre	http://www.wikidata.org/entity/Q11573	234.0
Q920809	113923	http://www.wikidata.org/entity/Q920809	Pirelli Tower	metre	http://www.wikidata.org/entity/Q11573	110.0
Q1151808	113851	http://www.wikidata.org/entity/Q1151808	Umeda Sky Building	metre	http://www.wikidata.org/entity/Q11573	173.0
Q5711011	113199	http://www.wikidata.org/entity/Q5711011	Plasco Building	metre	http://www.wikidata.org/entity/Q11573	42.0
Q2742547	113072	http://www.wikidata.org/entity/Q2742547	122 Leadenhall Street	metre	http://www.wikidata.org/entity/Q11573	230.0
Q798416	111279	http://www.wikidata.org/entity/Q798416	John Hancock Tower	metre	http://www.wikidata.org/entity/Q11573	241.0
Q1156274	109866	http://www.wikidata.org/entity/Q1156274	Torre Velasca	metre	http://www.wikidata.org/entity/Q11573	106.0
Q700636	108612	http://www.wikidata.org/entity/Q700636	Yanggakdo International Hotel	metre	http://www.wikidata.org/entity/Q11573	170.0
Q337631	108217	http://www.wikidata.org/entity/Q337631	Tuntex Sky Tower	metre	http://www.wikidata.org/entity/Q11573	323.0
Q1034660	107862	http://www.wikidata.org/entity/Q1034660	Capital Gate	metre	http://www.wikidata.org/entity/Q11573	160.0
Q7711913	107654	http://www.wikidata.org/entity/Q7711913	The 42	metre	http://www.wikidata.org/entity/Q11573	260.0
Q1372014	107635	http://www.wikidata.org/entity/Q1372014	HSBC Building	metre	http://www.wikidata.org/entity/Q11573	178.7
Q16724433	105180	http://www.wikidata.org/entity/Q16724433	Toranomon Hills	metre	http://www.wikidata.org/entity/Q11573	255.5
Q14530911	104844	http://www.wikidata.org/entity/Q14530911	Residential Intempo	metre	http://www.wikidata.org/entity/Q11573	187.0
Q1676687	104352	http://www.wikidata.org/entity/Q1676687	270 Park Avenue	metre	http://www.wikidata.org/entity/Q11573	215.0
Q19817578	103476	http://www.wikidata.org/entity/Q19817578	St. Regis Chicago	metre	http://www.wikidata.org/entity/Q11573	362.9
Q1771772	103223	http://www.wikidata.org/entity/Q1771772	Roppongi Hills Mori Tower	metre	http://www.wikidata.org/entity/Q11573	238.0
Q3533060	103084	http://www.wikidata.org/entity/Q3533060	Tour Duo	metre	http://www.wikidata.org/entity/Q11573	180.0
Q844324	101974	http://www.wikidata.org/entity/Q844324	Trump World Tower	metre	http://www.wikidata.org/entity/Q11573	262.0
Q526963	100787	http://www.wikidata.org/entity/Q526963	BMW Headquarters	metre	http://www.wikidata.org/entity/Q11573	101.0
Q59483	100756	http://www.wikidata.org/entity/Q59483	Mercury City Tower	metre	http://www.wikidata.org/entity/Q11573	338.8
Q901058	100027	http://www.wikidata.org/entity/Q901058	Vehicle Assembly Building	metre	http://www.wikidata.org/entity/Q11573	160.3
Q1827608	99564	http://www.wikidata.org/entity/Q1827608	Lipstick Building	metre	http://www.wikidata.org/entity/Q11573	133.0
Q507939	98487	http://www.wikidata.org/entity/Q507939	World One	metre	http://www.wikidata.org/entity/Q11573	280.2
Q64026922	97920	http://www.wikidata.org/entity/Q64026922	Shibuya Scramble Square	metre	http://www.wikidata.org/entity/Q11573	229.71
Q15781036	97830	http://www.wikidata.org/entity/Q15781036	220 Central Park South	metre	http://www.wikidata.org/entity/Q11573	290.2
Q797017	97681	http://www.wikidata.org/entity/Q797017	Cathedral of Learning	metre	http://www.wikidata.org/entity/Q11573	163.0
Q1514587	96926	http://www.wikidata.org/entity/Q1514587	The Palazzo	metre	http://www.wikidata.org/entity/Q11573	196.0
Q328505	96601	http://www.wikidata.org/entity/Q328505	Bank of America Tower	metre	http://www.wikidata.org/entity/Q11573	365.8
Q197833	96111	http://www.wikidata.org/entity/Q197833	China Zun	metre	http://www.wikidata.org/entity/Q11573	528.0
Q2640560	95712	http://www.wikidata.org/entity/Q2640560	CBS Building	meter	http://www.wikidata.org/entity/Q3710	149.65679521098255
Q440082	94160	http://www.wikidata.org/entity/Q440082	Deutsche Bank Building	metre	http://www.wikidata.org/entity/Q11573	157.6
Q156198	93676	http://www.wikidata.org/entity/Q156198	MesseTurm	metre	http://www.wikidata.org/entity/Q11573	256.5
Q1319147	92604	http://www.wikidata.org/entity/Q1319147	The San Remo	metre	http://www.wikidata.org/entity/Q11573	122.0
Q1319147	92604	http://www.wikidata.org/entity/Q1319147	The San Remo	meter	http://www.wikidata.org/entity/Q3710	121.91999609856012
Q963111	92191	http://www.wikidata.org/entity/Q963111	UniCredit Tower	metre	http://www.wikidata.org/entity/Q11573	152.0
Q244358	91963	http://www.wikidata.org/entity/Q244358	56 Leonard Street	metre	http://www.wikidata.org/entity/Q11573	250.2
Q80367	89732	http://www.wikidata.org/entity/Q80367	Triumph Palace	metre	http://www.wikidata.org/entity/Q11573	264.0
