artist - title	wond	tran	tend	nost	peac	joya	ener	sadn	tens
Coolio - Gangsta's Paradise	18.55555556	9.363888889	1.203333333	15.15277778	7.3	41.12638889	33.95777778	0.688888889	5.708333333
Cunninlynguists - Love Ain't	8.884615385	12.86858974	3.230769231	12.18589744	4.709615385	19.84294872	23.18108974	4.025641026	11.71634615
CunninLynguists - Valley of Death	11.13405797	13.23913043	0.0	13.08514493	2.77826087	16.55072464	14.13550725	1.362318841	9.308695652
Cyne - One Day	8.488095238	5.354166667	4.757142857	5.15625	11.32142857	26.93541667	19.00982143	0.488095238	5.960714286
D-12 - Fight Music	1.148648649	4.756756757	0.0	4.527027027	2.97972973	20.5045045	27.72454955	0.0	15.28513514
DECAP - Panther	7.594202899	9.099637681	1.384782609	0.298913043	2.558695652	14.70833333	8.915942029	0.0	31.39927536
The Deli - 5:32pm	9.041666667	9.301282051	17.07179487	24.81891026	39.04358974	7.830128205	0.940384615	0.0	5.990384615
Desiigner - Panda	24.69444444	4.6875	9.3	0.78125	7.922222222	28.25694444	22.72916667	1.055555556	9.333333333
Dexter - Everyday Like This	6.968468468	0.599099099	5.259459459	1.165540541	5.617567568	17.46171171	5.643243243	0.702702703	11.19234234
Die Orsons - Ventilator	5.37345679	3.262345679	0.333333333	1.458333333	3.111111111	14.84691358	3.251851852	0.49382716	12.03703704
Dj Shadow - Building Steam With A Grain of Salt	5.431034483	7.221264368	3.765517241	4.353448276	6.067241379	12.63505747	10.2591954	3.563218391	23.3408046
DMX - X Gon' Give It To Ya	17.27272727	7.053030303	8.6	9.886363636	9.518181818	37.26515152	37.76818182	0.727272727	0.0
Drake - Too Much	10.203125	9.208333333	9.665625	14.71875	13.7015625	11.78645833	11.44791667	5.104166667	7.569270833
Dr. Dre - Nuthin' But A G thang	12.32258065	4.010752688	4.277419355	10.18145161	13.02311828	25.12903226	14.65591398	1.075268817	8.884946237
Dr. Dre ft. Snoop Dogg - Still D.R.E.	8.888020833	8.604166667	1.79375	16.9921875	12.2109375	24.54661458	28.87161458	0.0	6.953125
Eminem - Lose Yourself	17.40432099	10.06790123	7.777777778	17.53703704	10.51666667	31.20524691	24.1787037	3.703703704	10.21882716
Eminem - Mockingbird	14.64583333	5.5625	9.6	22.60267857	7.930952381	7.607142857	5.828571429	26.58035714	10.42142857
Eminem - Rap God	18.78395062	14.83024691	6.103703704	9.074074074	4.955555556	23.83024691	21.32345679	3.086419753	17.39753086
Eminem ft.Nate Dogg - Shake That	5.286666667	1.943333333	0.36	7.125	5.694	23.49733333	9.082	0.0	6.76
Eminem - Till I Collapse	11.9	15.55555556	1.0	4.895833333	0.0	26.19444444	39.19638889	0.0	10.10111111
eRRdeKa - EdoppelR	5.141472868	2.726744186	0.0	2.369186047	7.305426357	15.93313953	7.674418605	0.899224806	11.33837209
Figub Brazlevic - Silent Lava	0.913043478	3.532608696	1.539130435	0.842391304	17.82681159	8.213768116	0.417391304	0.0	15.31956522
Flo Filz - keepitreal	11.22868217	4.467054264	3.069767442	7.197674419	18.80426357	19.81589147	10.56511628	0.0	11.44612403
Freundeskreis - A-N-N-A	3.521604938	6.567901235	12.49444444	13.04938272	17.80925926	3.62962963	0.0	8.919753086	8.47962963
Future - Mask Off	10.71568627	3.105392157	3.302941176	6.930147059	3.419852941	20.97916667	16.74264706	1.745098039	12.13333333
Geto Boys - Mind Playing Tricks On Me	8.40942029	4.692028986	0.0	1.277173913	5.295652174	11.37318841	7.44057971	0.724637681	19.63586957
Gucci Mane feat. Chris Brown - Tone It Down	6.479166667	6.086309524	5.035714286	0.0	11.65714286	25.61458333	18.69345238	0.69047619	14.86130952
Haftbefehl - Lass Die Affen Aus'm Zoo	3.838709677	7.795698925	0.793548387	3.568548387	2.4	15.80645161	19.32204301	0.64516129	27.73225806
Ice Cube - It Was A Good Day	3.105392157	1.93872549	2.576470588	9.093137255	9.696078431	12.82598039	6.0	0.0	12.18676471
idealism - controlla	14.22839506	5.280864198	18.58209877	24.125	38.45648148	6.512345679	2.040740741	8.324074074	0.0
Immortal Technique - Freedom Of Speech	4.713333333	3.616666667	0.408	3.825	5.16	13.6	10.51833333	1.173333333	15.092
Immortal Technique - Leaving the past	10.93666667	13.31333333	2.088	10.3	7.96	11.57	6.810666667	11.59666667	12.37266667
